,strat_id,init_cash,macd.fast_period,macd.slow_period,macd.signal_period,macd.sma_period,macd.dir_period,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
43,34,1000000,8,26,18,10,14,0.456353226,0.000110097,0.028132978,2.813297786,192,19.18527392,374687.4844,"AutoOrderedDict([('len', 1798), ('drawdown', 53.336586750931026), ('moneydown', 862923.046875)])",53.33658675,1798,0.191088106,578307.75,1578307.745,77,0.571428571,44,33,67074.07844,6.707407844,-71907.62746,-7.190762746,339724.0996,33.97240996,-477794.5625,-47.77945625
44,45,1000000,12,13,18,10,7,0.456332722,0.000110092,0.028131696,2.813169627,107,10.4557467,184289.2988,"AutoOrderedDict([('len', 3174), ('drawdown', 59.56874010070054), ('moneydown', 1001503.32421875)])",59.5687401,3174,0.194803286,578275.38,1578275.385,88,0.545454545,48,40,57787.64868,5.778764868,-54888.2938,-5.48882938,352543.877,35.2543877,-443738.25,-44.373825
45,40,1000000,12,13,9,10,14,0.450929972,0.000108789,0.027794045,2.779404506,1590,21.28478735,424470.0391,"AutoOrderedDict([('len', 1797), ('drawdown', 56.72362967425024), ('moneydown', 1027975.8632812499)])",56.72362967,1797,0.189885557,569771.35,1569771.351,85,0.611764706,52,33,68124.05538,6.812405538,-90081.19786,-9.008119786,419972.0254,41.99720254,-648205.5693,-64.82055693
46,62,1000000,12,26,9,5,21,0.44057229,0.00010629,0.02714704,2.714703957,192,10.30131346,178420.4512,"AutoOrderedDict([('len', 1797), ('drawdown', 55.587200578007725), ('moneydown', 852045.185546875)])",55.58720058,1797,0.182959842,553596.07,1553596.071,63,0.603174603,38,25,70239.59108,7.023959108,-84620.33559,-8.462033559,320494.4336,32.04944336,-422938.0195,-42.29380195
47,20,1000000,8,19,18,5,21,0.438908957,0.000105889,0.027043175,2.70431754,192,10.55306095,182990.5664,"AutoOrderedDict([('len', 1797), ('drawdown', 55.62208049955955), ('moneydown', 854628.955078125)])",55.6220805,1797,0.182379461,551014.07,1551014.072,63,0.603174603,38,25,70326.72104,7.032672104,-84856.05309,-8.485605309,320494.4336,32.04944336,-422938.0195,-42.29380195
48,1,1000000,8,13,9,5,14,0.418114875,0.000100872,0.025745608,2.574560788,192,17.6487413,325558.0801,"AutoOrderedDict([('len', 1800), ('drawdown', 56.2773736661839), ('moneydown', 870794.353515625)])",56.27737367,1800,0.183276318,519095.17,1519095.171,99,0.565656566,56,43,53800.18464,5.380018464,-57993.37602,-5.799337602,213571.0938,21.35710938,-502692.4814,-50.26924814
49,21,1000000,8,19,18,10,7,0.398945079,9.62E-05,0.024550849,2.455084937,177,11.483224,193329.3965,"AutoOrderedDict([('len', 3242), ('drawdown', 59.786774167229176), ('moneydown', 999965.642578125)])",59.78677417,3242,0.172830589,490251.77,1490251.77,94,0.510638298,48,46,59747.14237,5.974714237,-51687.19705,-5.168719705,352543.877,35.2543877,-441410.7891,-44.14107891
50,61,1000000,12,26,9,5,14,0.372623321,8.99E-05,0.022912611,2.291261148,192,15.85620872,273530.3555,"AutoOrderedDict([('len', 2490), ('drawdown', 55.102321882487686), ('moneydown', 835722.072265625)])",55.10232188,2490,0.160818697,451537.47,1451537.473,82,0.548780488,45,37,55908.72033,5.590872033,-55793.37682,-5.579337682,320494.4336,32.04944336,-422938.0195,-42.29380195
51,63,1000000,12,26,9,10,7,0.356767874,8.61E-05,0.02192705,2.192704998,3420,13.30518269,219265.3594,"AutoOrderedDict([('len', 3420), ('drawdown', 59.94352946709126), ('moneydown', 987851.11328125)])",59.94352947,3420,0.157324961,428704.19,1428704.191,95,0.494736842,47,48,59113.15897,5.911315897,-48950.29751,-4.895029751,346133.9883,34.61339883,-436804.8398,-43.68048398
52,19,1000000,8,19,18,5,14,0.356754275,8.61E-05,0.021926205,2.192620513,192,17.00844414,292797.3184,"AutoOrderedDict([('len', 3175), ('drawdown', 55.120090704991526), ('moneydown', 838137.142578125)])",55.1200907,3175,0.154391775,428684.76,1428684.764,82,0.548780488,45,37,55825.01647,5.582501647,-56309.21561,-5.630921561,320494.4336,32.04944336,-422938.0195,-42.29380195
53,44,1000000,12,13,18,5,21,0.355229763,8.57E-05,0.021831493,2.183149281,192,10.4806949,167012.0098,"AutoOrderedDict([('len', 1800), ('drawdown', 55.63126405206784), ('moneydown', 854628.955078125)])",55.63126405,1800,0.154176606,426508.38,1426508.375,62,0.580645161,36,26,68311.22871,6.831122871,-78180.60994,-7.818060994,320494.4336,32.04944336,-422938.0195,-42.29380195
54,47,1000000,12,13,18,10,21,0.349055793,8.42E-05,0.021448017,2.144801672,1608,18.74435587,327046.8633,"AutoOrderedDict([('len', 1798), ('drawdown', 55.64495784036425), ('moneydown', 916182.044921875)])",55.64495784,1798,0.152397703,417728.29,1417728.287,62,0.564516129,35,27,70658.85611,7.065885611,-76123.39544,-7.612339544,346133.9883,34.61339883,-450311.8496,-45.03118496
