Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-11-07,12.245318752483508,12.248074223462119,12.129574253732644,12.239806175231934,270275600,0.0,0.0
2011-11-08,12.315743421152865,12.493034650699776,12.295840256431811,12.438836097717285,400442000,0.0,0.0
2011-11-09,12.1552951690908,12.27532659383671,12.071396391199793,12.103547096252441,558684000,0.0,0.0
2011-11-10,12.15713149558907,12.162643254858644,11.701503358717044,11.795507431030273,744752400,0.0,0.0
2011-11-11,11.838068407765219,11.902064826122054,11.643630299726375,11.777134895324707,653786000,0.0,0.0
2011-11-14,11.743454026878707,11.796427754597563,11.580554990024664,11.613012313842773,432905200,0.0,0.0
2011-11-15,11.660167409083067,11.926562589202767,11.618830437421526,11.906047821044922,430810800,0.0,0.0
2011-11-16,11.918906076708694,11.976778319371531,11.767947984596251,11.78172779083252,349210400,0.0,0.0
2011-11-17,11.757537965466543,11.775910497039586,11.49787939374479,11.556364059448242,479900400,0.0,0.0
2011-11-18,11.602597748707085,11.635360862804164,11.478891850346272,11.480729103088379,371938000,0.0,0.0
2011-11-21,11.341714308405928,11.380909036078185,11.204230232154694,11.299153327941895,447980400,0.0,0.0
2011-11-22,11.360698873768744,11.572284657285163,11.35824920337135,11.528803825378418,409021200,0.0,0.0
2011-11-23,11.467565166145784,11.508290535786893,11.233933120186467,11.23730182647705,428271200,0.0,0.0
2011-11-25,11.281090306703751,11.36468329517134,11.12492703290183,11.132582664489746,254760800,0.0,0.0
2011-11-28,11.401424053438456,11.535234444593348,11.339571507749136,11.516861915588379,346413200,0.0,0.0
2011-11-29,11.50828958463497,11.599843982280557,11.33559188974497,11.427452087402344,375855200,0.0,0.0
2011-11-30,11.67516871843847,11.70548216406369,11.583613511003655,11.703032493591309,405938400,0.0,0.0
2011-12-01,11.713445643099554,11.911251662480977,11.658635483158028,11.878488540649414,387181200,0.0,0.0
2011-12-02,11.936666158297793,12.053023068957971,11.898391278320606,11.932685852050781,379055600,0.0,0.0
2011-12-05,12.048733704577142,12.138145035834967,11.953811432754192,12.034035682678223,357210000,0.0,0.0
2011-12-06,12.018725507367227,12.083640950117701,11.922885022412672,11.97095775604248,283598000,0.0,0.0
2011-12-07,11.939726956321183,11.970653638164833,11.842660804978465,11.914006233215332,304746400,0.0,0.0
2011-12-08,11.986267223285244,12.110278905530475,11.948910573354011,11.962077140808105,376356400,0.0,0.0
2011-12-09,12.029138448661588,12.06557607205331,11.973409260636885,12.052715301513672,296993200,0.0,0.0
2011-12-12,11.993312519460304,12.061289243266717,11.925029995652645,11.998211860656738,301067200,0.0,0.0
2011-12-13,12.03372844583005,12.107217728902723,11.853069369795522,11.90542984008789,338928800,0.0,0.0
2011-12-14,11.840826522717034,11.861648727598054,11.564632640326199,11.641489028930664,406887600,0.0,0.0
2011-12-15,11.737632284973499,11.750186435828683,11.583918751690954,11.603209495544434,256200000,0.0,0.0
2011-12-16,11.646691671079576,11.762741947576103,11.622501584065022,11.666900634765625,421478400,0.0,0.0
2011-12-19,11.711301006073102,11.784177070231108,11.650365859472384,11.703339576721191,235530400,0.0,0.0
2011-12-20,11.87328185599486,12.12865512595526,11.857972231445146,12.124061584472656,337215200,0.0,0.0
2011-12-21,12.146720066461949,12.165399214527563,12.003417599914547,12.139371871948242,262948000,0.0,0.0
2011-12-22,12.156213304121271,12.221435384515454,12.128656141154604,12.203675270080566,202358800,0.0,0.0
2011-12-23,12.23858001962294,12.357999003917081,12.232455843354465,12.350037574768066,269399200,0.0,0.0
2011-12-27,12.342995127943658,12.526409709339104,12.340544639799747,12.44802188873291,265076000,0.0,0.0
2011-12-28,12.459050579756983,12.500693360202659,12.289108297876547,12.328914642333984,228662000,0.0,0.0
2011-12-29,12.3521799138349,12.421075666403357,12.263688433633783,12.40484619140625,215978000,0.0,0.0
2011-12-30,12.355550786201853,12.440369416635823,12.354939186109652,12.401175498962402,179662000,0.0,0.0
2012-01-03,12.535902895267355,12.630825176381842,12.523654542485982,12.591937065124512,302220800,0.0,0.0
2012-01-04,12.554276391801135,12.69757969611058,12.532230169871262,12.6596097946167,260022000,0.0,0.0
2012-01-05,12.705846711893331,12.816078637322608,12.636031905395743,12.800156593322754,271269600,0.0,0.0
2012-01-06,12.853434800502326,12.944682583783262,12.836593722774792,12.933965682983398,318292800,0.0,0.0
2012-01-09,13.028888933326966,13.097783880402996,12.90181430479835,12.913450241088867,394024400,0.0,0.0
2012-01-10,13.04144007696776,13.04419636497565,12.906404858696966,12.959684371948242,258196400,0.0,0.0
2012-01-11,12.942537930755742,12.947743889653161,12.83934841752644,12.938557624816895,215084800,0.0,0.0
2012-01-12,12.930290201350983,12.949274330747459,12.8222005308498,12.903038024902344,212587200,0.0,0.0
