Column1,strat_id,init_cash,rsi.rsi_period,rsi.rsi_upper,rsi.rsi_lower,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
16,12,1000000,5,40,20,0.202969401,4.90E-05,0.012416205,1.241620505,2074,17.58234342,261339.459,"AutoOrderedDict([('len', 2074), ('drawdown', 30.290145840126772), ('moneydown', 450224.986328125)])",30.29014584,2074,0.062500022,225034.98,1225034.983,76,0.618421053,47,29,27777.11631,2.777711631,-37258.25805,-3.725825805,116539.2188,11.65392188,-122006.2852,-12.20062852
17,21,1000000,6,80,20,0.188444918,4.55E-05,0.011522603,1.152260318,899,17.79400494,261342.959,"AutoOrderedDict([('len', 2376), ('drawdown', 52.31927200616618), ('moneydown', 750907.6171875)])",52.31927201,2376,0.08196412,207370.58,1207370.576,26,0.692307692,18,7,67735.32487,6.773532487,-128899.9227,-12.88999227,228188.8125,22.81888125,-337299.375,-33.7299375
18,16,1000000,5,60,20,0.185000186,4.46E-05,0.011310786,1.131078585,759,14.4299736,202902.9824,"AutoOrderedDict([('len', 1565), ('drawdown', 47.34808967808634), ('moneydown', 615470.1171875)])",47.34808968,1565,0.067432505,203218.66,1203218.664,66,0.651515152,43,23,33917.08862,3.391708862,-54574.61506,-5.457461506,127306.1309,12.73061309,-279655.2988,-27.96552988
19,20,1000000,5,80,20,0.181868575,4.39E-05,0.011118261,1.111826085,1569,26.33289373,428755.293,"AutoOrderedDict([('len', 1569), ('drawdown', 55.86403295590578), ('moneydown', 822784.3320312501)])",55.86403296,1569,0.08667982,199456.54,1199456.545,42,0.714285714,30,12,52245.57354,5.224557354,-113992.5551,-11.39925551,164173.5176,16.41735176,-550648.4971,-55.06484971
20,27,1000000,20,40,25,0.181716372,4.38E-05,0.011108905,1.110890466,398,0.738072677,8917.330078,"AutoOrderedDict([('len', 967), ('drawdown', 5.722969934692881), ('moneydown', 64005.99609375)])",5.722969935,967,0.050152017,199274,1199273.998,5,1,5,0,39854.79961,3.985479961,0,0,54086.49609,5.408649609,0,0
21,33,1000000,6,80,25,0.163030609,3.93E-05,0.009960915,0.996091461,3420,27.01990667,435795.4824,"AutoOrderedDict([('len', 3420), ('drawdown', 60.321989933310036), ('moneydown', 972914.1933593751)])",60.32198993,3420,0.098657418,177072.72,1177072.718,34,0.705882353,24,9,66561.45089,6.656145089,-141907.0503,-14.19070503,253543.125,25.3543125,-384944.9004,-38.49449004
22,29,1000000,6,60,25,0.118929827,2.87E-05,0.007256677,0.725667738,3303,19.64580653,275366.9941,"AutoOrderedDict([('len', 3303), ('drawdown', 52.780672854756816), ('moneydown', 739804.45703125)])",52.78067285,3303,0.054278877,126290.88,1126290.88,68,0.691176471,47,21,33717.36048,3.371736048,-69448.8125,-6.94488125,121612.7441,12.16127441,-444335.2266,-44.43352266
23,4,1000000,5,60,15,0.118504497,2.86E-05,0.007230632,0.723063165,3228,10.14672374,127132.8457,"AutoOrderedDict([('len', 3228), ('drawdown', 43.676827503723516), ('moneydown', 547246.53125)])",43.6768275,3228,0.004785526,125811.94,1125811.937,42,0.69047619,29,13,28491.29118,2.849129118,-53879.65445,-5.387965445,128991.9922,12.89919922,-285807.5586,-28.58075586
24,8,1000000,5,80,15,0.095159349,2.30E-05,0.005802088,0.580208839,3392,15.23724802,197710.0146,"AutoOrderedDict([('len', 3392), ('drawdown', 52.56888830546835), ('moneydown', 682104.515625)])",52.56888831,3392,0.028556301,99834.1,1099834.099,30,0.666666667,20,10,50389.99951,5.038999951,-90796.58916,-9.079658916,157761.332,15.7761332,-431149.458,-43.1149458
25,5,1000000,6,60,15,0.041269922,9.96E-06,0.002512202,0.251220226,3245,13.5440776,163259.3203,"AutoOrderedDict([('len', 3245), ('drawdown', 48.54329519028861), ('moneydown', 585137.328125)])",48.54329519,3245,-0.035961521,42133.36,1042133.362,28,0.75,21,7,29102.22754,2.910222754,-81287.63086,-8.128763086,66150.47852,6.615047852,-374882.4297,-37.48824297
26,6,1000000,14,60,15,0,0,0,0,0,0,0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0,0,,0,1000000,0,,,,,,,,,,,
27,2,1000000,14,40,15,0,0,0,0,0,0,0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0,0,,0,1000000,0,,,,,,,,,,,
28,3,1000000,20,40,15,0,0,0,0,0,0,0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0,0,,0,1000000,0,,,,,,,,,,,
29,19,1000000,20,60,20,0,0,0,0,0,0,0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0,0,,0,1000000,0,,,,,,,,,,,
30,7,1000000,20,60,15,0,0,0,0,0,0,0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0,0,,0,1000000,0,,,,,,,,,,,
31,10,1000000,14,80,15,0,0,0,0,0,0,0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0,0,,0,1000000,0,,,,,,,,,,,
32,11,1000000,20,80,15,0,0,0,0,0,0,0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0,0,,0,1000000,0,,,,,,,,,,,
33,23,1000000,20,80,20,0,0,0,0,0,0,0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0,0,,0,1000000,0,,,,,,,,,,,
34,15,1000000,20,40,20,0,0,0,0,0,0,0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0,0,,0,1000000,0,,,,,,,,,,,
35,17,1000000,6,60,20,-0.155527568,-3.75E-05,-0.009410913,-0.941091333,3392,27.13693109,318792.8027,"AutoOrderedDict([('len', 3392), ('drawdown', 49.19120969300985), ('moneydown', 577876.826171875)])",49.19120969,3392,-0.101145116,-144036.52,855963.4795,42,0.642857143,27,15,29913.94477,2.991394477,-63447.53529,-6.344753529,112616.9619,11.26169619,-375679.1836,-37.56791836
