,strat_id,init_cash,buy_prop,sell_prop,macd.fractional,macd.commission,macd.stop_loss,macd.stop_trail,macd.take_profit,execution_type,macd.channel,macd.symbol,macd.allow_short,macd.short_max,macd.add_cash_amount,macd.add_cash_freq,macd.invest_div,macd.fast_period,macd.slow_period,macd.signal_period,macd.sma_period,macd.dir_period,rsi.fractional,rsi.commission,rsi.stop_loss,rsi.stop_trail,rsi.take_profit,rsi.channel,rsi.symbol,rsi.allow_short,rsi.short_max,rsi.add_cash_amount,rsi.add_cash_freq,rsi.invest_div,rsi.rsi_period,rsi.rsi_upper,rsi.rsi_lower,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
116,39,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,3,13,9,10,14,False,0,0,0,0,,,False,1.5,0,M,True,14,80,25,-0.03524025445059006,-2.0901693031192206e-05,-0.005253379128936005,-0.5253379128936005,1590,15.99113297388361,183759.35546875,"AutoOrderedDict([('len', 1590), ('drawdown', 38.72655072346182), ('moneydown', 445019.5)])",38.72655072346182,1590,-0.060013277079146395,-34626.55,965373.453125,1,,,,,,,,,,,
117,133,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,5,13,9,10,14,False,0,0,0,0,,,False,1.5,0,M,True,14,80,20,-0.035845601350146986,-2.1260736269363575e-05,-0.005343378633421931,-0.5343378633421931,1590,14.303485966128937,161031.630859375,"AutoOrderedDict([('len', 1590), ('drawdown', 39.05092597989889), ('moneydown', 439643.4765625)])",39.05092597989889,1590,-0.03275489703910054,-35210.76,964789.244140625,1,,,,,,,,,,,
118,162,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,5,16,9,10,10,False,0,0,0,0,,,False,1.5,0,M,True,14,75,25,-0.03681516037928052,-2.1835800936702564e-05,-0.005487510143196252,-0.5487510143196251,425,15.044558649882093,170686.6796875,"AutoOrderedDict([('len', 1161), ('drawdown', 36.66796798845316), ('moneydown', 413842.0546875)])",36.66796798845316,1161,-0.039907382958070343,-36145.72,963854.27734375,1,,,,,,,,,,,
119,167,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,5,16,9,10,14,False,0,0,0,0,,,False,1.5,0,M,True,14,80,25,-0.04000338436049886,-2.372679973932317e-05,-0.005961313968692038,-0.5961313968692038,1590,14.65905377709398,165034.6875,"AutoOrderedDict([('len', 1590), ('drawdown', 39.25211164670179), ('moneydown', 441908.466796875)])",39.25211164670179,1590,-0.04391497177598654,-39213.81,960786.1875,1,,,,,,,,,,,
120,284,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,8,16,18,20,14,False,0,0,0,0,,,False,1.5,0,M,True,14,75,20,-0.04121250858646919,-2.4443955270740917e-05,-0.0061409435828012485,-0.6140943582801248,444,14.842423380545164,167256.55859375,"AutoOrderedDict([('len', 1113), ('drawdown', 31.09127528667643), ('moneydown', 343753.349609375)])",31.09127528667643,1113,-0.05512845369626796,-40374.82,959625.1796875,1,,,,,,,,,,,
121,71,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,3,16,9,10,14,False,0,0,0,0,,,False,1.5,0,M,True,14,80,25,-0.04178317204233814,-2.4782427071374935e-05,-0.006225711070262231,-0.6225711070262231,1590,16.384663814049212,187934.015625,"AutoOrderedDict([('len', 1590), ('drawdown', 38.79816473855156), ('moneydown', 445019.5)])",38.79816473855156,1590,-0.05489389788416521,-40922.29,959077.712890625,1,,,,,,,,,,,
122,103,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,5,10,9,10,14,False,0,0,0,0,,,False,1.5,0,M,True,14,80,25,-0.04566823397266403,-2.7086734266111524e-05,-0.006802613788024103,-0.6802613788024103,1590,16.708884357204656,191652.86328125,"AutoOrderedDict([('len', 1590), ('drawdown', 39.30405146436859), ('moneydown', 450822.080078125)])",39.30405146436859,1590,-0.058789634713185566,-44641.13,955358.865234375,1,,,,,,,,,,,
123,59,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,3,13,18,20,10,False,0,0,0,0,,,False,1.5,0,M,True,14,80,25,-0.04677390872611141,-2.7742531866021002e-05,-0.006966737014519472,-0.6966737014519472,1590,15.23490512533799,171517.7421875,"AutoOrderedDict([('len', 1590), ('drawdown', 34.62976497454579), ('moneydown', 389869.123046875)])",34.62976497454579,1590,-0.08056865782693602,-45696.87,954303.1328125,1,,,,,,,,,,,
124,231,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,8,13,9,10,14,False,0,0,0,0,,,False,1.5,0,M,True,14,80,25,-0.04762922786761717,-2.8249838592892745e-05,-0.007093679558585582,-0.7093679558585582,1590,15.307375336518342,172333.626953125,"AutoOrderedDict([('len', 1590), ('drawdown', 41.09553878159125), ('moneydown', 462662.154296875)])",41.09553878159125,1590,-0.04217596558617506,-46512.75,953487.248046875,1,,,,,,,,,,,
125,31,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,3,10,18,20,14,False,0,0,0,0,,,False,1.5,0,M,True,14,80,25,-0.04819318692705987,-2.858433388319091e-05,-0.007177370898196325,-0.7177370898196325,1569,15.59988102029671,176136.025390625,"AutoOrderedDict([('len', 1569), ('drawdown', 31.727335445676918), ('moneydown', 358228.806640625)])",31.727335445676918,1569,-0.09265325078436411,-47050.33,952949.671875,1,,,,,,,,,,,
126,137,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,5,13,9,20,10,False,0,0,0,0,,,False,1.5,0,M,True,14,80,20,-0.04974824681219307,-2.9506670707113328e-05,-0.007408104733906016,-0.7408104733906016,1590,15.486650601722054,174351.9453125,"AutoOrderedDict([('len', 1590), ('drawdown', 33.24899556623517), ('moneydown', 374324.1328125)])",33.24899556623517,1590,-0.07680637576564542,-48531.07,951468.9296875,1,,,,,,,,,,,
127,41,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,3,13,9,20,10,False,0,0,0,0,,,False,1.5,0,M,True,14,80,20,-0.05076646772456364,-3.0110597701401923e-05,-0.007559155405489177,-0.7559155405489176,1590,16.11277783819127,182568.98828125,"AutoOrderedDict([('len', 1590), ('drawdown', 33.124448903095335), ('moneydown', 375323.0625)])",33.124448903095335,1590,-0.09975904867287887,-49499.38,950500.6171875,1,,,,,,,,,,,
128,169,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,5,16,9,20,10,False,0,0,0,0,,,False,1.5,0,M,True,14,80,20,-0.05229858364980766,-3.1019326008189596e-05,-0.007786397875536734,-0.7786397875536734,1590,15.701913496840694,176775.419921875,"AutoOrderedDict([('len', 1590), ('drawdown', 33.9431349092279), ('moneydown', 382138.8984375)])",33.9431349092279,1590,-0.07423591565858831,-50954.54,949045.455078125,1,,,,,,,,,,,
129,108,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,5,10,9,20,14,False,0,0,0,0,,,False,1.5,0,M,True,14,75,20,-0.05368162938774272,-3.183963783377385e-05,-0.007991485664012915,-0.7991485664012915,1569,17.672913485642688,203447.224609375,"AutoOrderedDict([('len', 1569), ('drawdown', 31.50870744953825), ('moneydown', 362722.2578125)])",31.50870744953825,1569,-0.1093937569062764,-52266.21,947733.7890625,1,,,,,,,,,,,
130,263,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,8,16,9,10,14,False,0,0,0,0,,,False,1.5,0,M,True,14,80,25,-0.05637499606753892,-3.343712696769806e-05,-0.008390755443397702,-0.8390755443397702,1590,13.997504239572528,153835.37109375,"AutoOrderedDict([('len', 1590), ('drawdown', 39.86646803800204), ('moneydown', 438140.45703125)])",39.86646803800204,1590,-0.03998050611211484,-54815.37,945184.62890625,1,1.0,1.0,0.0,426070.3652343752,42.60703652343752,0.0,0.0,426070.3652343752,42.60703652343752,0.0,0.0
131,76,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,3,16,9,20,14,False,0,0,0,0,,,False,1.5,0,M,True,14,75,20,-0.057179738515847255,-3.391443565589991e-05,-0.008510020804875855,-0.8510020804875855,1569,16.412317272944033,185436.30859375,"AutoOrderedDict([('len', 1569), ('drawdown', 30.897516994257835), ('moneydown', 349098.875)])",30.897516994257835,1569,-0.10063630634950865,-55575.7,944424.3046875,1,,,,,,,,,,,
132,201,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,8,10,9,20,10,False,0,0,0,0,,,False,1.5,0,M,True,14,80,20,-0.05800547470060722,-3.440419614508139e-05,-0.008632382593338135,-0.8632382593338135,1590,16.18162336437402,182176.09375,"AutoOrderedDict([('len', 1590), ('drawdown', 33.28171474769466), ('moneydown', 374692.4921875)])",33.28171474769466,1590,-0.07699531833663564,-56355.22,943644.78125,1,,,,,,,,,,,
133,212,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,8,10,18,10,14,False,0,0,0,0,,,False,1.5,0,M,True,14,75,20,-0.061380768340949715,-3.64061496684162e-05,-0.009132393774276893,-0.9132393774276893,1590,14.426937429198286,158554.927734375,"AutoOrderedDict([('len', 1590), ('drawdown', 39.88997157695037), ('moneydown', 438398.765625)])",39.88997157695037,1590,-0.0206674957298924,-59534.93,940465.072265625,1,,,,,,,,,,,
134,63,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,3,13,18,20,14,False,0,0,0,0,,,False,1.5,0,M,True,14,80,25,-0.06215707154098924,-3.686659047508259e-05,-0.009247358546141763,-0.9247358546141763,1569,16.77024411813349,189350.427734375,"AutoOrderedDict([('len', 1569), ('drawdown', 32.75455953171956), ('moneydown', 369827.046875)])",32.75455953171956,1569,-0.09593245954036547,-60264.73,939735.26953125,1,,,,,,,,,,,
135,178,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,5,16,18,10,10,False,0,0,0,0,,,False,1.5,0,M,True,14,75,25,-0.06253629152109047,-3.7091513357704905e-05,-0.00930351337558349,-0.9303513375583491,177,18.077975126935723,207295.53125,"AutoOrderedDict([('len', 1388), ('drawdown', 37.32560706072228), ('moneydown', 410215.88671875)])",37.32560706072228,1388,-0.031122523533549246,-60621.03,939378.970703125,1,,,,,,,,,,,
