strat_id,init_cash,buy_prop,sell_prop,macd.fast_period,macd.slow_period,macd.signal_period,macd.sma_period,macd.dir_period,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
54,1000000,1,1,5,10,9,5,7,1338772.384,148,0.506756757,75,73,39396.10702,3.939610702,-35834.73483,-3.583473483,217195,21.7195,-202247.2012,-20.22472012
126,1000000,1,1,8,13,9,5,7,1334136.288,118,0.508474576,60,58,46648.36702,4.664836702,-42495.96092,-4.249596092,175433.3984,17.54333984,-213578.9883,-21.35789883
59,1000000,1,1,5,10,9,10,21,1284346.295,58,0.672413793,39,19,48624.46139,4.862446139,-84842.51049,-8.484251049,205348,20.5348,-458595.082,-45.8595082
55,1000000,1,1,5,10,9,5,14,1282995.664,102,0.598039216,61,41,41358.7954,4.13587954,-54631.48428,-5.463148428,205348,20.5348,-305885.6367,-30.58856367
41,1000000,1,1,3,16,9,10,21,1278680.107,58,0.637931034,37,21,53801.98741,5.380198741,-81523.49651,-8.152349651,213246,21.3246,-330602.3701,-33.06023701
28,1000000,1,1,3,13,18,5,14,1276759.729,100,0.58,58,42,48126.14755,4.812614755,-59870.40069,-5.987040069,208902.9688,20.89029688,-453247.3193,-45.32473193
151,1000000,1,1,8,16,9,20,14,1271575.612,53,0.641509434,34,19,66360.40823,6.636040823,-104456.7509,-10.44567509,391499.3457,39.14993457,-478099.4238,-47.80994238
7,1000000,1,1,3,10,9,20,14,1248357.468,51,0.705882353,36,14,49308.93072,4.930893072,-98008.50133,-9.800850133,161573.3789,16.15733789,-428878.7178,-42.88787178
88,1000000,1,1,5,13,18,20,14,1233010.488,53,0.660377358,35,18,64984.66203,6.498466203,-113414.0379,-11.34140379,398617.5156,39.86175156,-476757.2334,-47.67572334
30,1000000,1,1,3,13,18,10,7,1214344.42,115,0.547826087,63,52,49385.84804,4.938584804,-55710.84629,-5.571084629,216363.7891,21.63637891,-445006.459,-44.5006459
16,1000000,1,1,3,10,18,20,14,1204372.007,54,0.62962963,34,20,55915.07232,5.591507232,-84837.02261,-8.483702261,186520.5078,18.65205078,-317637.5713,-31.76375713
70,1000000,1,1,5,10,18,20,14,1192940.23,53,0.641509434,34,19,55837.38635,5.583738635,-89764.78449,-8.976478449,205172.5586,20.51725586,-374548.3955,-37.45483955
133,1000000,1,1,8,13,9,20,14,1189909.285,53,0.641509434,34,19,56138.83516,5.613883516,-90463.74265,-9.046374265,213571.0938,21.35710938,-375972.8564,-37.59728564
25,1000000,1,1,3,13,9,20,14,1183833.957,52,0.673076923,35,17,48589.22796,4.858922796,-89222.88362,-8.922288362,144687.4297,14.46874297,-266653.0293,-26.66530293
34,1000000,1,1,3,13,18,20,14,1155784.45,54,0.648148148,35,19,52649.45806,5.264945806,-88786.66221,-8.878666221,182790.0977,18.27900977,-363121.4961,-36.31214961
115,1000000,1,1,8,10,9,20,14,1151240.683,53,0.641509434,34,19,54026.56333,5.402656333,-88719.07741,-8.871907741,193981.3281,19.39813281,-314986.7148,-31.49867148
97,1000000,1,1,5,16,9,20,14,1115826.414,52,0.634615385,33,19,53122.73553,5.312273553,-86169.67676,-8.616967676,186520.5078,18.65205078,-315279.2549,-31.52792549
43,1000000,1,1,3,16,9,20,14,1091979.86,53,0.603773585,32,21,51250.26974,5.125026974,-73715.65578,-7.371565578,177705,17.7705,-306883.2637,-30.68832637
79,1000000,1,1,5,13,9,20,14,1073981.295,52,0.634615385,33,19,49615.1791,4.96151791,-82279.97975,-8.227997975,175329.2773,17.53292773,-307420.5234,-30.74205234
61,1000000,1,1,5,10,9,20,14,1036817.419,51,0.666666667,34,17,42995.69563,4.299569563,-83825.66073,-8.382566073,165858,16.5858,-421687.793,-42.1687793
89,1000000,1,1,5,13,18,20,21,1024049.789,42,0.619047619,26,15,61234.5711,6.12345711,-95992.86061,-9.599286061,355908.4961,35.59084961,-447516.21,-44.751621
152,1000000,1,1,8,16,9,20,21,1019814.203,42,0.619047619,26,15,60071.854,6.0071854,-94278.01868,-9.427801868,355908.4961,35.59084961,-508852.5264,-50.88525264
125,1000000,1,1,8,10,18,20,21,1001664.277,41,0.609756098,25,15,60850.61574,6.085061574,-92948.95462,-9.294895462,295310.75,29.531075,-432346.1689,-43.23461689
53,1000000,1,1,3,16,18,20,21,987048.918,42,0.595238095,25,16,67265.51234,6.726551234,-98292.76624,-9.829276624,348790.3262,34.87903262,-476920.7715,-47.69207715
134,1000000,1,1,8,13,9,20,21,985366.5322,42,0.619047619,26,15,48753.51119,4.875351119,-77354.6752,-7.73546752,148737.0117,14.87370117,-420827.5654,-42.08275654
44,1000000,1,1,3,16,9,20,21,977424.0166,42,0.619047619,26,15,57346.4852,5.73464852,-92864.09889,-9.286409889,202740.4238,20.27404238,-498769.292,-49.8769292
107,1000000,1,1,5,16,18,20,21,974886.5693,42,0.595238095,25,16,57879.80961,5.787980961,-84367.25275,-8.436725275,289284,28.9284,-424870.208,-42.4870208
71,1000000,1,1,5,10,18,20,21,964675.0361,42,0.619047619,26,15,47603.76964,4.760376964,-76949.6069,-7.69496069,141755.5859,14.17555859,-420718.5059,-42.07185059
62,1000000,1,1,5,10,9,20,21,961177.0049,40,0.65,26,13,54346.64277,5.434664277,-103153.1971,-10.31531971,202740.4238,20.27404238,-447603.7578,-44.76037578
26,1000000,1,1,3,13,9,20,21,951894.6924,42,0.69047619,29,12,49376.43289,4.937643289,-113540.9705,-11.35409705,202740.4238,20.27404238,-438141.3477,-43.81413477
116,1000000,1,1,8,10,9,20,21,949232.6855,42,0.619047619,26,15,46990.19719,4.699019719,-76915.57135,-7.691557135,141755.5859,14.17555859,-468353.543,-46.8353543
143,1000000,1,1,8,13,18,20,21,921547.8027,41,0.585365854,24,16,59924.05265,5.992405265,-91190.99646,-9.119099646,337438.9688,33.74389688,-433129.7012,-43.31297012
17,1000000,1,1,3,10,18,20,21,919062.7422,42,0.619047619,26,15,50481.79019,5.048179019,-85896.90404,-8.589690404,145485.9961,14.54859961,-449870.3418,-44.98703418
98,1000000,1,1,5,16,9,20,21,892914.8594,42,0.571428571,24,17,53626.38363,5.362638363,-75571.57387,-7.557157387,149216.4063,14.92164062,-468353.543,-46.8353543
35,1000000,1,1,3,13,18,20,21,867727.2686,42,0.571428571,24,17,54563.4305,5.45634305,-78559.95479,-7.855995479,141755.5859,14.17555859,-462086.4072,-46.20864072
80,1000000,1,1,5,13,9,20,21,865459.0693,41,0.634146341,26,14,46800.80375,4.680080375,-89441.82059,-8.944182059,145485.9961,14.54859961,-449870.3418,-44.98703418
8,1000000,1,1,3,10,9,20,21,796451.3184,40,0.65,26,13,41436.19674,4.143619674,-91183.07722,-9.118307722,209827.5176,20.98275176,-525981.418,-52.5981418
161,1000000,1,1,8,16,18,20,21,748804.9209,41,0.536585366,22,18,54486.0633,5.44860633,-78325.72673,-7.832572673,288444.9902,28.84449902,-411583.0508,-41.15830508
