,dt,open,high,low,close,volume,RSI_5,RSI_14,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,K_9_3,D_9_3,J_9_3,EMA_20,EMA_60,EMA_120
0,2018-01-02,156.55999755859375,158.52999877929688,156.1699981689453,158.49000549316406,32573300,,,,,,,,,,,
1,2018-01-03,158.63999938964844,160.1699981689453,158.61000061035156,160.02999877929688,29383600,,,,,,,,,,,
2,2018-01-04,160.5800018310547,160.7899932861328,160.0800018310547,160.30999755859375,24776100,,,,,,,,,,,
3,2018-01-05,161.07000732421875,162.02999877929688,160.77000427246094,161.9199981689453,26992300,,,,,,,,,,,
4,2018-01-08,161.9199981689453,162.6300048828125,161.86000061035156,162.5500030517578,23159100,,,,,,,,,,,
5,2018-01-09,162.8699951171875,163.0399932861328,162.07000732421875,162.55999755859375,24782400,100.0,,,,,,,,,,
6,2018-01-10,161.83999633789062,162.2100067138672,161.1199951171875,162.17999267578125,34004000,82.9962999336894,,,,,,,,,,
7,2018-01-11,162.4600067138672,163.3000030517578,162.2100067138672,163.2899932861328,20473500,89.50940061582986,,,,,,,,,,
8,2018-01-12,163.14999389648438,164.66000366210938,162.94000244140625,164.49000549316406,37762700,93.08749761362674,,,,,,,,,,
9,2018-01-16,165.5800018310547,166.4199981689453,163.52999877929688,164.02000427246094,41231800,79.76757947337013,,,,,,,,,,
10,2018-01-17,164.8000030517578,166.0399932861328,164.0,165.7899932861328,33849900,87.91072341491832,,,,,85.16732405922647,,,,,
11,2018-01-18,165.52999877929688,166.1999969482422,165.13999938964844,165.82000732421875,26432200,88.01298655699092,,,,,86.91748793667651,,,,,
12,2018-01-19,166.30999755859375,166.61000061035156,165.5399932861328,166.33999633789062,38937600,89.8688908081022,,,,,90.05169133173224,88.03365504434498,94.08776390650678,,,
13,2018-01-22,166.27999877929688,168.1199951171875,166.08999633789062,168.1199951171875,26081400,93.90606753282485,,,,,93.68693795788121,90.38194179304466,100.29693028755429,,,
14,2018-01-23,168.63999938964844,169.66000366210938,168.55999755859375,169.50999450683594,37989700,95.61265193715313,93.72362816046845,,,,95.30019701224487,92.26999237482293,101.3606062870887,,,
15,2018-01-24,169.8699951171875,170.24000549316406,167.44000244140625,168.41000366210938,54287400,74.87156467878258,82.27878089339303,,,,89.02544513225745,91.08439090122383,84.90755359432467,,,
16,2018-01-25,169.57000732421875,169.6300048828125,167.80999755859375,168.35000610351562,28925000,73.78034706032857,81.69281282514903,,,,83.92071371787921,88.54805254927714,74.66603605508334,,,
17,2018-01-26,169.2899932861328,170.9499969482422,168.9600067138672,170.92999267578125,32038200,85.29801146325336,86.23315886242281,,,,89.2836101658265,88.8031936289589,90.24444323956169,,,
