dt,open,high,low,close,volume,RSI_5,RSI_14,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,K_9_3,D_9_3,J_9_3,EMA_20,EMA_60,EMA_120
2007-12-31,76.44999694824219,76.80000305175781,75.58000183105469,75.9000015258789,73932400,,,,,,,,,,,
2008-01-02,76.1500015258789,76.5,74.58999633789062,75.16000366210938,94259600,,,,,,,,,,,
2008-01-03,75.2699966430664,75.62000274658203,74.02999877929688,74.33000183105469,78036800,,,,,,,,,,,
2008-01-04,73.23999786376953,73.33000183105469,71.61000061035156,72.08999633789062,123498600,,,,,,,,,,,
2008-01-07,72.27999877929688,72.8499984741211,71.06999969482422,72.25,139672900,,,,,,,,,,,
2008-01-08,72.31999969482422,73.2699966430664,70.0199966430664,70.0199966430664,157222700,2.8321275719899965,,,,,,,,,,
2008-01-09,69.93000030517578,71.0,68.62000274658203,70.7300033569336,140191600,18.780785883290505,,,,,,,,,,
2008-01-10,70.11000061035156,72.31999969482422,69.86000061035156,71.69999694824219,153878400,36.56219038940933,,,,,,,,,,
2008-01-11,71.27999877929688,71.5,69.91000366210938,70.22000122070312,120320000,25.792515576438777,,,,,,,,,,
2008-01-14,71.01000213623047,71.19000244140625,70.26000213623047,70.80000305175781,71078600,35.150003159811774,,,,,,,,,,
2008-01-15,69.87999725341797,70.16000366210938,69.06999969482422,69.5,95261600,25.973658825482197,,,,,18.80905074143349,,,,,
2008-01-16,69.23999786376953,70.70999908447266,68.72000122070312,69.56999969482422,135714800,27.25194331032417,,,,,19.374281105789745,,,,,
2008-01-17,69.9800033569336,70.0999984741211,67.68000030517578,67.87999725341797,123268100,17.91564273605702,,,,,13.310215789548634,16.382833247705793,7.164980873234313,,,
2008-01-18,68.12000274658203,68.80999755859375,66.29000091552734,67.22000122070312,131880200,15.348716349178018,,,,,13.315177730078371,15.108576340383634,9.728380509467843,,,
2008-01-22,64.47000122070312,68.12999725341797,64.19000244140625,66.73999786376953,150963700,13.57987185023736,17.216942789126453,,,,19.705909039378657,16.873429177438595,25.370868763258784,,,
2008-01-23,65.30000305175781,69.9800033569336,65.08999633789062,69.0199966430664,183099500,48.68940231110598,35.39372784075203,,,,33.477811836429986,22.940895322002365,54.55164486528522,,,
2008-01-24,69.4800033569336,70.2300033569336,68.27999877929688,68.97000122070312,113683300,48.15318506945557,35.21115499201441,,,,44.39926050788505,30.53834467630469,72.12109217104577,,,
2008-01-25,69.95999908447266,70.22000122070312,68.08000183105469,68.47000122070312,95436000,42.325946658198234,33.357908672338894,,,,50.07894804466878,37.31634619361036,75.60415174678562,,,
2008-01-28,68.31999969482422,69.97000122070312,67.70999908447266,69.91999816894531,81259000,59.91174299119708,42.765762181506275,,,,62.827827176538506,46.04728494114526,96.388911647325,,,
2008-01-29,70.38999938964844,70.38999938964844,69.12000274658203,70.0999984741211,75340700,61.72282297719175,43.82591571947983,,,,72.17195575590361,54.90918749430146,106.6974922791079,70.52949981689453,,
2008-01-30,69.72000122070312,71.4000015258789,69.0999984741211,69.22000122070312,126086600,48.368999050322394,39.931672090772885,-1.1691807283521314,,,71.36522811560864,60.45869230385245,93.17829973912102,70.4047856648763,,
2008-01-31,68.11000061035156,71.55999755859375,68.0,70.94000244140625,117643600,66.22307628766218,49.396354494017714,-0.8472701007711407,,,78.12918112607213,66.39460538426424,101.5983326096879,70.45575869121248,,
2008-02-01,71.33000183105469,72.87999725341797,71.0,72.61000061035156,100612100,76.20816708949262,56.554170339873785,-0.38324726917012697,,,84.39810924427664,72.42676798298329,108.34079176686333,70.66092458827335,,
2008-02-04,72.54000091552734,72.5999984741211,71.68000030517578,71.79000091552734,54583900,64.50432463969516,52.618492876565305,-0.15508467606207432,,,84.93547454770302,76.61066873716761,101.58508616877384,70.76845566705944,,
2008-02-05,70.69000244140625,71.56999969482422,69.80000305175781,69.94999694824219,125988100,45.08375034760301,45.043581873270746,-0.23224124884004027,,,71.05184501569826,74.75348632672494,63.64856239364491,70.69050721764827,,
2008-02-06,70.41999816894531,70.87999725341797,68.83999633789062,69.0199966430664,97259100,37.87862157680047,41.77049336027402,-0.4042259111032962,,,55.80373021641975,68.42726967868579,30.556651291887675,70.53141097245,,
2008-02-07,68.63999938964844,70.5199966430664,68.47000122070312,70.11000061035156,125972100,49.66426123115075,46.662501243889885,-0.3745332137448685,,,52.674978585745215,63.17117125544678,31.682593246342094,70.49127665225015,,
2008-02-08,69.94999694824219,70.63999938964844,69.0,69.66999816894531,86493200,45.32526341131482,45.01833708264043,-0.4037501480448782,,,46.52189972145915,57.61765634998756,24.330386464402338,70.41305965384016,,
2008-02-11,69.66000366210938,70.19999694824219,68.7300033569336,69.69999694824219,80655800,45.72934496504197,45.160212159196305,-0.4123127841464225,0.07455900254635295,-0.4868717866927754,42.62582625510665,52.61812439787839,22.64122996956317,70.3451489199737,,
2008-02-12,70.0999984741211,71.05000305175781,69.72000122070312,70.25,76564500,53.59010349026027,47.81878535522597,-0.33781499915615143,0.11924543002929922,-0.45706042918545065,43.78623370917803,49.67327523443597,32.01215065866215,70.33608711807145,,
2008-02-13,71.0199966430664,71.94999694824219,70.69999694824219,71.83999633789062,86241400,69.53547978402231,54.66159969365163,-0.06952785430554798,0.3100260599039222,-0.37955391420947016,54.664188945506986,51.337246740740355,61.31807335504024,70.47931656757802,,
2008-02-14,72.0999984741211,72.18000030517578,70.0199966430664,70.18000030517578,78328200,48.0091794599383,47.637859747114,-0.09640454700391388,0.22651949376444502,-0.3229240407683589,50.24398462976011,50.97277732312494,48.78639924303043,70.45081025687305,,
2008-02-15,69.80000305175781,70.12999725341797,69.1500015258789,69.87000274658203,64549100,44.773640846412604,46.43782488624032,-0.15416745262609766,0.135005270513809,-0.28917272313990666,46.074457796908376,49.33985864684679,39.543656097031544,70.39549525589295,,
2008-02-19,70.87999725341797,71.01000213623047,69.62000274658203,70.7300033569336,50724600,55.235454539790844,50.18678935847633,-0.07896604407793006,0.1681653432495813,-0.24713138732751136,51.02194070563892,49.900585975437366,53.26465016604203,70.42735317027777,,
2008-02-20,69.54000091552734,70.91000366210938,69.16999816894531,70.7699966430664,71204100,55.72302441059108,50.36079005814715,-0.018946413711717014,0.1825479788926355,-0.2014943926043525,54.679525206221456,51.49362880691825,61.05131800482786,70.45998588197193,,
2008-02-21,71.26000213623047,71.75,69.23999786376953,69.41999816894531,85702100,38.17749959495845,44.686475200663274,-0.15339806230279862,0.038477064241243114,-0.19187512654404174,43.11950359752526,48.7021800389129,31.95415071474997,70.36093943311225,,
2008-02-22,69.51000213623047,69.51000213623047,68.04000091552734,69.41999816894531,84228000,38.17749959495845,44.68647520066328,-0.24536593378530824,-0.0427926457930132,-0.20257328799229504,39.857400848428625,45.75386841567841,28.064465713929053,70.27132597938207,,
2008-02-25,69.37999725341797,71.0,69.02999877929688,70.7699966430664,76367400,58.563586380800174,51.079171410595926,-0.12816430724622307,0.0595271845968576,-0.18769149184308068,48.552291079514646,46.68668691594907,52.2834994066458,70.31881842354248,,
2008-02-26,70.37000274658203,72.19999694824219,70.30999755859375,71.43000030517578,92917400,65.51323492247582,53.88519221156802,0.04396185517447293,0.1853226776140429,-0.14136082243956996,59.53171477844157,50.968396364395865,76.65835160653297,70.42464526941231,,
2008-02-27,70.83999633789062,72.23999786376953,70.70999908447266,71.4000015258789,85186500,64.89485102411793,53.73432640743225,0.16083987061124105,0.2417605544406488,-0.08092068382940776,66.3545165533053,56.097129840864916,86.86928997818607,70.51753634145675,,
2008-02-28,70.7699966430664,71.13999938964844,69.9800033569336,70.31999969482422,68720700,45.5474035911652,48.47265441916045,0.09841317905207347,0.14346709030518498,-0.045053911253111506,62.33157970785797,58.17528702172075,70.64416508013241,70.49872332749175,,
2008-02-29,69.5999984741211,69.69999694824219,68.0999984741211,68.86000061035156,98588500,30.288360347916335,42.42476085379456,-0.13943210241653503,-0.07550255293073882,-0.06392954948579621,48.062310587162,54.80428706349664,34.57835763449272,70.34265449728792,,
2008-03-03,68.38999938964844,68.72000122070312,67.20999908447266,68.19999694824219,84853500,25.467227290075446,39.99537997413692,-0.3914558711578593,-0.26202105733765046,-0.12943481382020883,38.60215751304002,49.40356886808259,16.999334802954877,70.13859187356928,,
2008-03-04,67.56999969482422,68.43000030517578,66.77999877929688,67.80000305175781,90523200,22.7267414774565,38.55445145470916,-0.6142707471565956,-0.3878687466691094,-0.22640200048748618,31.96190198984467,43.58967391953123,8.706358130471543,69.91586912863485,,
2008-03-05,68.20999908447266,68.69999694824219,67.43000030517578,68.44999694824219,92841800,36.58749211057816,42.198722296194,-0.6740543751495238,-0.3581218997296301,-0.3159324754198937,31.503285246220454,39.560874928270316,15.388105882120726,69.77626225431175,,
2008-03-06,67.91000366210938,68.18000030517578,65.93000030517578,66.16999816894531,104781300,20.48010592398488,34.47488573818076,-1.0021021462613078,-0.5489357366731312,-0.45316640958817656,22.270006334058586,33.79724942470906,-0.7844798472423662,69.4328085318959,,
2008-03-07,65.36000061035156,66.83999633789062,65.19999694824219,65.95999908447266,119085300,19.492133968216187,33.8601476925435,-1.2413862652860246,-0.6305758845582784,-0.6108103807277462,18.44516486574828,28.679886343096406,-2.0242780889479803,69.10206477499845,,
